date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:14	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:14%20GMT	https://www.yinigeria.com.ng/images/past/5.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/5.png	(from https://www.yinigeria.com.ng/)
14:01:14	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:14%20GMT	https://www.yinigeria.com.ng/css/images/ui-icons_cd0a0a_256x240.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-icons_cd0a0a_256x240.png	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
14:01:15	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:14%20GMT	https://www.yinigeria.com.ng/images/past/6.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/6.jpg	(from https://www.yinigeria.com.ng/)
14:01:15	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:15%20GMT	https://www.yinigeria.com.ng/images/past/7.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/7.png	(from https://www.yinigeria.com.ng/)
14:01:16	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:16%20GMT	https://www.yinigeria.com.ng/css/owl.video.play.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/owl.video.play.9b.delayed	(from https://www.yinigeria.com.ng/css/owl.carousel.min.css)
14:01:18	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:15%20GMT	https://www.yinigeria.com.ng/images/past/9.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/9.jpg	(from https://www.yinigeria.com.ng/)
14:01:19	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:15%20GMT	https://www.yinigeria.com.ng/images/past/10.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/10.png	(from https://www.yinigeria.com.ng/)
14:01:22	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:16%20GMT	https://www.yinigeria.com.ng/images/past/11.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/11.png	(from https://www.yinigeria.com.ng/)
14:01:22	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:16%20GMT	https://www.yinigeria.com.ng/images/past/8.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/8.jpg	(from https://www.yinigeria.com.ng/)
14:01:24	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:19%20GMT	https://www.yinigeria.com.ng/images/past/12.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/past/12.jpg	(from https://www.yinigeria.com.ng/)
